Original Names,Column Names
numdate,DateNum
datetext,XXX
opstyle,XXX
quality,XXX
win1,ResultDummy
opponent,Opp
muid,XXX
win2,XXX
Min_per,MP
ORtg,ORTG
Usage,Usage
eFG,eFG
TS_per,TS_per
ORB_per,ORB_per
DRB_per,DRB_per
AST_per,AST_per
TO_per,TO_per
dunksmade,DunksM
dunksatt,DunksAtt
rimmade,AtRimM
rimatt,AtRimAtt
midmade,MidM
midatt,MidAtt
twoPM,2PM
twoPA,2PA
TPM,3PM
TPA,3PA
FTM,FTM
FTA,FTA
bpm_rd,XXX
Obpm,OBPM
Dbpm,DBPM
bpm_net,BPM_net
pts,PTS
ORB,ORB
DRB,DRB
AST,AST
TOV,TOV
STL,STL
BLK,BLK
stl_per,STL_per
blk_per,BLK_per
PF,PF
possessions,POSS
bpm,BPM
sbpm,XXX
loc,XXX
tt,Team
pp,Player
inches,Height
cls,Class
pid,PID
year,Season